"pre_total","post_total"
26,26
22,22
22,25
24,28
20,21
21,18
34,36
27,18
15,15
31,30
21,28
21,21
17,14
22,27
16,15
17,25
23,24
12,26
12,15
30,36
16,11
16,13
31,24
28,28
36,32
28,26
34,34
21,32
21,19
29,26
22,24
20,22
19,22
16,14
21,23
29,31
28,33
25,29
27,26
27,19
24,24
28,26
21,22
14,23
20,20
25,23
25,24
23,28
21,13
31,33
23,27
12,14
11,30
28,37
34,32
20,22
35,29
29,29
41,40
37,36
34,40
33,42
12,29
7,20
24,21
24,23
19,19
21,22
23,22
23,25
19,31
22,17
20,27
18,21
29,24
11,22
30,27
29,30
13,13
23,23
35,37
14,16
26,32
29,23
16,19
6,7
25,26
27,27
28,27
21,33
24,31
23,30
14,10
20,17
33,37
22,23
29,34
20,22
23,22
34,30
29,26
11,22
25,28
20,26
29,24
21,14
27,28
18,16
16,31
38,34
21,30
13,18
21,20
28,29
26,16
30,28
21,33
13,34
14,23
38,41
16,17
20,11
17,24
30,33
25,20
21,20
29,31
7,7
19,20
34,34
23,16
17,23
24,33
4,32
18,19
22,25
17,27
15,23
16,28
27,32
27,26
29,16
18,29
28,39
26,30
42,42
26,23
20,22
27,26
24,22
16,16
17,19
19,19
18,31
17,20
38,34
17,18
19,22
33,37
23,24
23,21
23,22
21,17
25,28
17,21
23,32
29,33
19,34
18,18
21,28
29,30
9,9
7,9
22,21
15,33
28,28
21,29
7,14
30,29
14,34
25,31
10,18
17,20
12,15
34,37
20,22
8,36
20,29
21,24
12,11
15,28
21,26
24,30
19,15
16,24
15,21
16,31
24,24
17,34
29,27
21,18
7,9
27,38
26,31
28,24
12,27
19,16
13,13
20,18
28,36
18,21
13,16
31,40
21,23
25,36
10,15
14,14
11,13
22,29
38,39
29,15
9,36
20,20
42,42
25,28
26,26
24,31
23,21
29,33
11,15
27,20
16,35
22,28
16,22
29,14
31,32
30,31
17,27
31,30
21,21
20,17
26,22
33,28
34,38
22,17
31,41
17,27
13,23
20,31
23,24
22,21
27,29
17,23
31,28
25,33
17,21
23,22
14,21
34,17
22,32
36,32
30,28
31,30
18,15
15,25
23,23
26,29
16,29
24,23
9,27
21,24
25,28
15,23
22,24
29,36
14,18
13,17
15,19
30,33
26,31
14,19
23,29
12,10
31,34
11,7
17,17
30,41
34,31
20,18
19,26
25,27
22,23
22,24
27,21
26,11
29,31
25,24
22,23
27,35
22,28
14,18
13,18
22,31
33,38
29,33
20,21
30,37
29,33
33,23
21,19
13,28
33,32
26,27
19,34
32,36
15,11
26,29
21,6
15,25
17,12
14,28
17,17
21,14
22,24
24,29
19,20
23,24
20,31
30,28
21,28
21,27
25,33
22,20
28,33
29,27
23,19
18,27
25,38
15,19
18,27
29,19
28,19
25,25
24,22
21,25
11,17
16,19
24,35
17,28
15,37
19,33
39,35
23,23
25,38
27,39
20,19
33,32
28,32
33,33
8,7
21,18
33,34
17,29
19,14
34,36
24,29
22,30
7,6
17,20
8,26
29,27
20,19
12,22
20,22
23,27
17,35
29,31
25,27
23,27
27,36
17,23
30,31
26,18
23,25
26,28
40,39
16,36
31,22
17,15
23,30
36,40
11,4
32,33
16,22
33,38
23,18
24,31
20,23
24,25
32,38
12,29
22,11
38,42
26,27
19,24
26,26
25,31
10,10
25,23
22,20
25,27
23,22
31,29
16,36
27,25
17,23
26,26
17,30
25,27
17,23
20,23
25,17
16,23
26,27
23,17
22,27
26,25
35,36
25,28
